AHNS VICON STATE MESSAGES LOG FOR logs/Vicon_Wednesday-06-10-2010-071053.log
TIME, VICON_X, VICON_Y, VICON_Z, VICON_VX, VICON_VY, VICON_VZ, VICON_PHI, VICON_PSI
9.9508,-0.314654,0.943671,0.171612,0.00163937,0.00203569,5.28754e-05,-0.0141629,-0.0121694,-0.942619
9.95943,-0.314662,0.943688,0.171583,-0.000785281,0.001882,-0.003256,-0.0141437,-0.0121624,-0.942613
9.96942,-0.314843,0.94354,0.171645,-0.0201712,-0.0163944,0.00694233,-0.0146593,-0.0129248,-0.945442
9.99019,-0.314716,0.943662,0.171617,0.0106077,0.0102043,-0.00232878,-0.0143305,-0.0122642,-0.942842
9.99539,-0.31464,0.943707,0.171579,0.00693124,0.00407806,-0.00352269,-0.0141976,-0.012249,-0.942775
10.0044,-0.314869,0.943474,0.171606,-0.0286639,-0.0291944,0.00340084,-0.0142164,-0.0130165,-0.946035
10.1017,-0.314654,0.94367,0.171583,0.00214741,0.00195863,-0.000224964,-0.0142948,-0.0123036,-0.942732
10.1481,-0.314823,0.943514,0.171678,-0.0120317,-0.0111172,0.00674649,-0.0147375,-0.0128583,-0.945396
10.1515,-0.314664,0.943671,0.17164,0.0316549,0.0314143,-0.00759259,-0.0143441,-0.012246,-0.942701
10.1519,-0.314652,0.943666,0.1716,0.003139,-0.00122123,-0.0099026,-0.0143619,-0.0121694,-0.942733
10.1535,-0.314646,0.943671,0.171573,0.000744326,0.000658316,-0.00345995,-0.014218,-0.012255,-0.942638
10.155,-0.31465,0.943684,0.171567,-0.000509581,0.00155856,-0.000657832,-0.0140919,-0.0121697,-0.942596
10.2395,-0.314666,0.943696,0.171561,-0.000160826,0.000126582,-6.49792e-05,-0.0141362,-0.0122389,-0.942835
10.28,-0.314683,0.943662,0.171606,-0.00111513,-0.00214949,0.00281573,-0.0142735,-0.0122544,-0.942758
10.2849,-0.314652,0.943669,0.171599,0.00779921,0.00180435,-0.00169572,-0.0143609,-0.0121655,-0.942605
10.2852,-0.314644,0.943676,0.171594,0.00171611,0.00137708,-0.000980055,-0.0141611,-0.0122564,-0.942666
10.2871,-0.31473,0.943673,0.171514,-0.0108229,-0.000387578,-0.0100508,-0.0137773,-0.0121897,-0.943273
10.3175,-0.314683,0.943688,0.171565,0.00158737,0.000501141,0.0017176,-0.0141217,-0.0122067,-0.942734
10.327,-0.314746,0.943544,0.171682,-0.0090502,-0.0206277,0.0167086,-0.0147198,-0.0129072,-0.945297
10.327,-0.314649,0.943702,0.171607,0.0322339,0.0529363,-0.0251584,-0.0143096,-0.0123226,-0.942811
10.3446,-0.314653,0.943674,0.171585,-0.00039532,-0.00310945,-0.00244616,-0.0143301,-0.012225,-0.94264
10.3464,-0.314645,0.943676,0.171561,0.000595448,0.000147448,-0.00180255,-0.013956,-0.0121473,-0.942599
10.3479,-0.314732,0.943697,0.171505,-0.0124207,0.0030096,-0.0080608,-0.0136613,-0.0121058,-0.943253
10.5283,-0.314705,0.943686,0.171598,0.000149227,-6.17453e-05,0.000511647,-0.0141203,-0.0121848,-0.942751
10.6556,-0.314606,0.943798,0.171621,0.00413307,0.00466706,0.000974314,-0.0144304,-0.0117419,-0.943116
10.6557,-0.314697,0.943655,0.171613,-0.0182956,-0.0285531,-0.00163415,-0.0142338,-0.0122852,-0.942688
10.6557,-0.314672,0.943659,0.171653,0.00842798,0.00130827,0.0135154,-0.0144035,-0.0122557,-0.942927
10.6557,-0.314657,0.943662,0.171629,0.00220426,0.000337699,-0.00345484,-0.0143325,-0.0123147,-0.942799
10.7474,-0.314643,0.943653,0.171599,7.10826e-05,-4.45928e-05,-0.000160342,-0.0141856,-0.0122935,-0.942657
10.8192,-0.31468,0.943677,0.171603,-0.00133647,0.000885531,0.0001382,-0.0143284,-0.0124023,-0.942805
10.8298,-0.314642,0.94369,0.171564,0.00928008,0.00309975,-0.00968269,-0.0141198,-0.0122569,-0.942711
